1	51206	-8443	978300760
1	28110	-8445	978302109
1	38844	-8445	978301968
1	147178	-8444	978300275
1	101070	-8443	978824291
1	51386	-8445	978302268
1	55487	-8443	978302039
1	121039	-8443	978300719
1	25326	-8444	978302268
1	39057	-8444	978301368
1	25400	-8443	978824268
1	39931	-8444	978301752
1	103026	-8444	978302281
1	126031	-8444	978302124
1	44341	-8443	978301753
1	120457	-8444	978302188
1	115878	-8445	978824268
1	85558	-8444	978301777
1	134132	-8443	978301713
1	120693	-8444	978302039
1	99574	-8445	978302205
1	30476	-8445	978300760
1	54756	-8443	978300055
1	22354	-8443	978824195
1	100404	-8445	978300103
1	1925	-8443	978824351
1	46963	-8444	978301953
1	73169	-8444	978300055
1	66048	-8444	978824139
1	31557	-8445	978824268
1	98516	-8444	978824291
1	137585	-8444	978300019
1	66885	-8444	978824330
1	24995	-8444	978824268
1	80353	-8444	978824330
1	33258	-8444	978824291
1	77349	-8443	978300172
1	43604	-8443	978300055
1	119170	-8444	978302091
1	6395	-8443	978301777
1	0	-8443	978824268
1	82690	-8443	978301590
1	82719	-8444	978301753
1	116124	-8444	978301570
1	10960	-8444	978300760
1	43955	-8443	978301777
1	44008	-8443	978302205
1	51892	-8444	978300719
1	86037	-8443	978301619
1	22502	-8444	978302149
1	134477	-8444	978302174
1	25946	-8444	978301398
1	53640	-8444	978302091
2	58504	-8443	978298709
2	132454	-8444	978299000
2	65666	-8444	978299620
2	27554	-8445	978299351
2	94450	-8444	978299297
2	27596	-8444	978299913
2	97447	-8443	978299297
2	113117	-8445	978300051
2	47245	-8445	978298905
2	125932	-8445	978299809
2	149826	-8443	978298542
2	52024	-8444	978298151
2	75751	-8445	978299941
2	71873	-8445	978300174
2	52239	-8446	978298458
2	154515	-8443	978298958
2	124459	-8445	978300002
2	130829	-8444	978298434
2	52457	-8445	978298151
2	134132	-8444	978298673
2	18425	-8446	978300174
2	91120	-8445	978300123
2	134213	-8446	978300002
2	134250	-8445	978299712
2	131026	-8444	978298625
2	53953	-8445	978299120
2	68772	-8443	978299809
2	12318	-8445	978300123
2	96073	-8443	978299220
2	132660	-8444	978299120
2	38302	-8446	978298905
2	15758	-8444	978300002
2	54216	-8443	978298841
2	135904	-8443	978298652
2	65970	-8444	978300174
2	55780	-8443	978298261
2	50977	-8444	978299620
2	140457	-8444	978299321
2	140507	-8446	978299839
2	140551	-8445	978300073
2	4681	-8443	978298625
2	97876	-8445	978299889
2	107063	-8445	978299966
2	77261	-8444	978298813
2	149938	-8443	978298814
2	25052	-8444	978299773
2	72026	-8445	978300051
2	157904	-8445	978298814
2	123154	-8445	978298958
2	82033	-8443	978298458
2	41786	-8444	978299269
2	78899	-8444	978298542
2	123436	-8444	978298434
2	52829	-8443	978298391
2	86037	-8444	978299773
2	21843	-8443	978298542
2	18742	-8445	978300025
2	99232	-8445	978299046
2	11187	-8444	978299026
2	60923	-8445	978299839
2	46406	-8445	978298813
2	160094	-8446	978299173
2	20411	-8443	978299809
2	62204	-8444	978299297
2	88170	-8443	978298625
2	54523	-8445	978299712
2	59212	-8443	978299889
2	51206	-8443	978298413
2	76088	-8445	978300002
2	59321	-8445	978299941
2	100960	-8444	978299861
2	143868	-8444	978298958
2	104314	-8446	978299913
2	25115	-8443	978299083
2	51291	-8443	978298730
2	66316	-8445	978299941
2	31235	-8444	978300100
2	51452	-8444	978298124
2	25272	-8443	978298517
2	101240	-8445	978299666
2	4026	-8446	978300143
2	117283	-8445	978298196
2	110579	-8444	978299773
2	80834	-8445	978300174
2	102945	-8444	978299641
2	161572	-8445	978298814
2	82350	-8444	978298775
2	68258	-8445	978300025
2	164963	-8445	978299712
2	82415	-8443	978298841
2	82448	-8444	978299200
2	9845	-8445	978299351
2	48141	-8443	978299418
2	82522	-8443	978298750
2	6899	-8444	978299809
2	847	-8447	978299839
2	7014	-8445	978300002
2	99574	-8445	978299666
2	46680	-8446	978298580
2	16261	-8443	978299809
2	107538	-8443	978298600
2	14827	-8444	978299839
2	19350	-8444	978299773
2	46927	-8444	978299386
2	39123	-8443	978298775
2	19449	-8445	978300002
2	65357	-8444	978299839
2	147594	-8444	978299809
2	60063	-8445	978299966
2	149082	-8444	978298924
2	133708	-8444	978298517
2	33138	-8445	978299966
2	21194	-8445	978299418
2	117767	-8445	978298881
2	84694	-8443	978300100
2	82719	-8443	978298813
2	75469	-8443	978298841
2	127191	-8444	978298372
2	84897	-8445	978299861
2	13479	-8443	978298413
2	51892	-8444	978298478
2	82960	-8446	978298881
2	159055	-8445	978299250
2	53557	-8445	978299143
2	15138	-8443	978299686
2	53602	-8446	978299200
2	53640	-8443	978299418
2	168740	-8447	978299535
2	53679	-8443	978298652
3	147739	-8444	978298147
3	69895	-8446	978298430
3	27596	-8445	978297867
3	60422	-8444	978298147
3	152701	-8445	978297068
3	4373	-8444	978298486
3	118043	-8444	978297867
3	52024	-8444	978297600
3	61812	-8445	978297095
3	167626	-8445	978298486
3	46189	-8443	978298296
3	129478	-8445	978298147
3	68965	-8443	978297710
3	55681	-8444	978297600
3	54216	-8443	978298296
3	27806	-8444	978297757
